Unternehmen,Standort,Bundesland,Latitude,Longitude,Subsector,Product,Process Chain,Process,Kapazität (Mio. t Rohstahl/yr),Quelle Standort,Quelle Kapazität,Variable,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hennigsdorfer Elektrostahlwerk/Riva,Hennigsdorf,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.8,0.7,,,0.9,,,
Lech-Stahlwerke,Herbertshofen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.18,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1.1,1.2,,,1.1,,,
Badische Stahlwerke,Kehl,,,,Iron and Steel,Crude Steel,Scrap-EAF,,2.5,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,2.2,2.4,,,2,,2.1,
Benteler,Lingen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.62,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.5,0.6,,,0.6,,,
Salzgitter,Peine,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1,https://www.salzgitter-ag.com/de/investor-relations/news-publikationen/berichte.html,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1.039,1.053,1.091,1.077,1.003,1.021,1.038,
ESF Elbe-Stahlwerke Feralpi,Riesa,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.9,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.9,1,,,0.9,,,
BGH Edelstahl,Siegen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.15,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.2,,,
Deutsche Edelstahlwerke/Swiss Steel,Siegen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.6,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.3,,,
Stahlwerk Thüringen/CSN-Gruppe,Unterwellenborn,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.1,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.8,0.8,,,0.8,,,
Saarstahl,Völklingen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.3,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
-,Werdohl,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
Buderus Edelstahl,Wetzlar,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.4,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.3,0.3,,,0.3,,,
-,Wiehl,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Edelstahlwerke/Swiss Steel,Witten,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.48,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.4,,,
-,Witten,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
